Description,NES,p.adjust,cell_type,negLog_padjust
GOBP ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE ANTIGEN,2.3586222591849793,1.31036665629413e-5,EC,4.882607166538866
GOBP MONOCYTE CHEMOTAXIS,2.4204964194095013,1.3379159369590199e-5,EC,4.873571173011942
GOBP T CELL DIFFERENTIATION,2.2711724595073712,1.3461788034317094e-5,EC,4.870897252009192
GOBP ANIMAL ORGAN MORPHOGENESIS,-2.009223090755084,2.028302723265403e-5,EC,4.692867226245889
GOBP REGULATION OF PHAGOCYTOSIS,2.2706490154206183,2.32073074254584e-5,EC,4.634375244641008
GOBP G PROTEIN COUPLED RECEPTOR SIGNALING PATHWAY,2.096457896441294,2.5110171993574238e-5,EC,4.600150312551738
GOBP GRANULOCYTE ACTIVATION,2.348578064617643,2.5670284959250905e-5,EC,4.5905693103101175
GOBP REGULATION OF ADAPTIVE IMMUNE RESPONSE,2.269881580325323,2.679356865727026e-5,EC,4.571969438502918
GOBP DEFENSE RESPONSE TO BACTERIUM,2.2573578889931203,2.679356865727026e-5,EC,4.571969438502918
GOBP FC RECEPTOR SIGNALING PATHWAY,2.321788262377005,2.7593621563280946e-5,EC,4.559191296196042
GOBP POSITIVE REGULATION OF HEMOPOIESIS,2.2578143411022062,2.7593621563280946e-5,EC,4.559191296196042
GOBP IMMUNOGLOBULIN PRODUCTION,2.357734547571214,2.8032742749898914e-5,EC,4.5523344083805535
GOBP MEMBRANE INVAGINATION,2.3593010217174935,2.806767738840135e-5,EC,4.551793523921842
GOBP REGULATION OF B CELL PROLIFERATION,2.337909384914826,2.8804369290878497e-5,EC,4.540541629775763
GOBP T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,2.2959495738735214,2.8804369290878497e-5,EC,4.540541629775763
GOBP REGULATION OF LEUKOCYTE DEGRANULATION,2.33661174133333,3.151695745948484e-5,EC,4.501455714479893
GOBP POSITIVE REGULATION OF MAPK CASCADE,2.0230511815007657,3.643156817478026e-5,EC,4.438522134412879
GOBP EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION,-2.3388636835910024,3.797336154066153e-5,EC,4.4205209558246406
GOBP REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION,1.66100951485785,3.8716243481367263e-05,EC,4.412106787584134
GOBP REGULATION OF MYELOID LEUKOCYTE MEDIATED IMMUNITY,2.318516358573758,4.410112298144503e-5,EC,4.355550351610724
GOBP VESICLE MEDIATED TRANSPORT,1.6775682510486856,4.442632738225378e-5,EC,4.352359587356626
GOBP REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION,2.2219487729142986,4.5261166133125193e-5,EC,4.344274260839593
GOBP TISSUE MORPHOGENESIS,-1.9569772871667082,4.804538840723601e-5,EC,4.318348291354543
GOBP ENDOCYTOSIS,1.933673764894555,6.060930207059359e-5,EC,4.217460716957406
GOBP MYELOID LEUKOCYTE MEDIATED IMMUNITY,2.2767713886632186,6.0914705414486325e-5,EC,4.215277851711565
GOBP POSITIVE REGULATION OF GENE EXPRESSION,1.80222331391262,6.7752336655316835e-05,EC,4.169075722165575
