p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.2992357472205713,0.669,0.117,0,Fibroblasts,Gstm2
0,1.2958652860374804,0.881,0.201,0,Fibroblasts,Fxyd1
0,1.2883118813904517,0.529,0.095,0,Fibroblasts,Meg3
0,1.2871409390521709,0.499,0.099,0,Fibroblasts,Col15a1
0,1.2787391757835425,0.457,0.039,0,Fibroblasts,Aspn
0,1.2773903855872566,0.937,0.653,0,Fibroblasts,Krtcap2
0,1.2767626356439752,0.515,0.085,0,Fibroblasts,Nr2f2
0,1.2703748646166046,0.371,0.006,0,Fibroblasts,Fmod
0,1.2649358923885,0.408,0.015,0,Fibroblasts,Gpc3
0,1.2600929227962194,0.627,0.086,0,Fibroblasts,Ar
0,1.2586416181769486,0.786,0.191,0,Fibroblasts,Npdc1
0,1.2521136526428904,0.51,0.103,0,Fibroblasts,Aff2
0,1.2515705496670397,0.545,0.089,0,Fibroblasts,Epha3
0,1.2460812857908683,0.528,0.031,0,Fibroblasts,Olfml3
0,1.2416245128782675,0.894,0.486,0,Fibroblasts,Anxa1
0,1.2347557786489194,0.535,0.1,0,Fibroblasts,Prss23
0,1.234008807863709,0.818,0.212,0,Fibroblasts,Cryab
0,1.226800483257108,0.823,0.356,0,Fibroblasts,Plxdc2
0,1.2261702697117753,0.532,0.02,0,Fibroblasts,Clec11a
0,1.2231428156837287,0.477,0.078,0,Fibroblasts,Tnxb
0,1.2226369413655604,0.449,0.06,0,Fibroblasts,Adamts5
0,1.2152757875076197,0.911,0.45,0,Fibroblasts,Nfix
0,1.2146352945027177,0.56,0.023,0,Fibroblasts,C1s1
0,1.2144533273545521,0.754,0.236,0,Fibroblasts,Ddah2
0,1.210463017929353,0.526,0.014,0,Fibroblasts,Cpxm1
0,1.206542149149092,0.938,0.639,0,Fibroblasts,Swi5
0,1.1983342804918997,0.543,0.105,0,Fibroblasts,Antxr1
0,1.1966249408467833,0.975,0.747,0,Fibroblasts,Bsg
0,1.1937559467573498,0.606,0.092,0,Fibroblasts,Prelp
0,1.1933709304727773,0.949,0.769,0,Fibroblasts,Celf2
0,1.1899438530355928,0.622,0.116,0,Fibroblasts,Col5a1
0,1.189065108857314,0.904,0.45,0,Fibroblasts,Mtch1
0,1.1863528169497752,0.555,0.091,0,Fibroblasts,Ddr2
0,1.1791328469685374,0.969,0.608,0,Fibroblasts,Sptbn1
0,1.1602223909685194,0.963,0.575,0,Fibroblasts,Anxa2
0,1.1582246505654936,0.98,0.901,0,Fibroblasts,Prdx1
0,1.1558771161887582,0.459,0.044,0,Fibroblasts,Akap12
0,1.151753282887952,0.409,0.006,0,Fibroblasts,Dpep1
0,1.1421651594867324,0.905,0.506,0,Fibroblasts,Cnpy2
0,1.141380753058182,0.268,0.007,0,Fibroblasts,Inmt
0,1.1407186600026673,0.995,0.87,0,Fibroblasts,Lgals1
0,1.137378762558178,0.96,0.813,0,Fibroblasts,Rpl22l1
0,1.1194782775023557,0.99,0.84,0,Fibroblasts,S100a10
0,1.1161081257657548,0.793,0.248,0,Fibroblasts,Col5a2
0,1.1130338534565618,0.322,0.011,0,Fibroblasts,Cd248
0,1.111284328820133,0.34,0.023,0,Fibroblasts,Adamtsl1
