Description,NES,p.adjust,cell_type,negLog_padjust
GOCC PHAGOCYTIC VESICLE,1.7988931351828488,0.04373162836610943,B cells,1.3592043512110679
GOCC SPLICEOSOMAL COMPLEX,-1.751061684039398,0.045608529432887686,B cells,1.3409539305978746
GOCC RIBOSOME,2.6075378187677396,4.282929667517938e-6,Neutrophils,5.368259057347455
GOCC CYTOSOLIC RIBOSOME,2.553238966712737,4.282929667517938e-6,Neutrophils,5.368259057347455
GOCC RIBONUCLEOPROTEIN COMPLEX,2.512300605282772,4.282929667517938e-6,Neutrophils,5.368259057347455
GOCC RIBOSOMAL SUBUNIT,2.5017457596069566,7.230131748109355e-6,Neutrophils,5.140853788880355
GOCC INNER MITOCHONDRIAL MEMBRANE PROTEIN COMPLEX,2.4971479388095617,6.319156035186286e-5,Neutrophils,4.199340920726574
GOCC MITOCHONDRIAL PROTEIN CONTAINING COMPLEX,2.4413873053856716,8.231997215296498e-5,Neutrophils,4.084494785157864
GOCC POLYSOME,2.439087817851186,1.1438511022289495e-4,Neutrophils,3.941630504991404
GOCC POLYSOMAL RIBOSOME,2.390022968965189,1.7993671221461954e-4,Neutrophils,3.744880219169118
GOCC CYTOSOLIC LARGE RIBOSOMAL SUBUNIT,2.2979607026753275,2.6378822813908384e-4,Neutrophils,3.578744589260884
GOCC LARGE RIBOSOMAL SUBUNIT,2.2461767664994676,7.388897576751302e-4,Neutrophils,3.1314203534926657
GOCC MEMBRANE PROTEIN COMPLEX,1.8028306202518323,0.007971450620237176,Neutrophils,2.098462639828673
GOCC ORGANELLE INNER MEMBRANE,1.9392380876644464,0.013180017308452738,Neutrophils,1.8800840194111608
GOCC CYTOSOLIC SMALL RIBOSOMAL SUBUNIT,1.9870388459518935,0.01794393578840399,Neutrophils,1.7460822935262768
GOCC SMALL RIBOSOMAL SUBUNIT,1.9870388459518935,0.01794393578840399,Neutrophils,1.7460822935262768
