Description,NES,p.adjust,cell_type,negLog_padjust
GOBP NEGATIVE REGULATION OF MULTICELLULAR ORGANISMAL PROCESS,-2.195439110085885,1.1776659447380228e-4,allECs,3.9289778835144142
GOBP CELL MIGRATION,-2.0133929265286774,1.1783939590844067e-4,allECs,3.928709492525772
GOBP TUMOR NECROSIS FACTOR SUPERFAMILY CYTOKINE PRODUCTION,-2.440384126853402,1.2126498468584627e-4,allECs,3.916264583741963
GOBP REGULATION OF CHEMOTAXIS,-2.3834912343283645,1.2126498468584627e-4,allECs,3.916264583741963
GOBP POSITIVE REGULATION OF MULTICELLULAR ORGANISMAL PROCESS,-2.0929988363145102,1.2483590642994971e-4,allECs,3.9036604809874205
GOBP T CELL DIFFERENTIATION,-2.418482080157207,1.2678630264368514e-4,allECs,3.896927662917896
GOBP ACTIVATION OF IMMUNE RESPONSE,-2.444682686579755,1.3215848902478963e-4,allECs,3.8789049353077982
GOBP NEGATIVE REGULATION OF INFLAMMATORY RESPONSE,-2.372470211222229,1.3387438149672448e-4,allECs,3.873302522607745
GOBP NEGATIVE REGULATION OF LYMPHOCYTE ACTIVATION,-2.4323017444199637,1.4579199679834985e-4,allECs,3.8362663158103105
GOBP NEGATIVE REGULATION OF RESPONSE TO EXTERNAL STIMULUS,-2.416878140066632,1.4620098662174335e-4,allECs,3.8350496965783427
GOBP REGULATION OF DEFENSE RESPONSE,-2.2748805290630134,1.5096957743056534e-4,allECs,3.82111056055572
GOBP REGULATION OF MONONUCLEAR CELL MIGRATION,-2.3913353565231117,1.6647534257500642e-4,allECs,3.7786500827379745
GOBP REGULATION OF HYDROLASE ACTIVITY,-2.113135736582776,1.6647534257500642e-4,allECs,3.7786500827379745
GOBP REGULATION OF MYELOID LEUKOCYTE DIFFERENTIATION,-2.390067873991382,1.6767457402330643e-4,allECs,3.7755327883095857
GOBP B CELL ACTIVATION,-2.3356932948066964,1.6767457402330643e-4,allECs,3.7755327883095857
GOBP MONONUCLEAR CELL MIGRATION,-2.4150038373277813,1.7936437355839645e-4,allECs,3.7462638149346486
GOBP POSITIVE REGULATION OF CATALYTIC ACTIVITY,-2.0583907334238236,1.8439579557426815e-4,allECs,3.7342489855584833
GOBP LEUKOCYTE PROLIFERATION,-2.4106922376448092,2.0358004886106453e-4,allECs,3.691264785736598
GOBP POSITIVE REGULATION OF HEMOPOIESIS,-2.3717926028114245,2.0894218244784814e-4,allECs,3.6799738733036755
GOBP POSITIVE REGULATION OF NUCLEOBASE CONTAINING COMPOUND METABOLIC PROCESS,-1.9049689954729958,2.3598691714974535e-4,allECs,3.6271120731619564
GOBP LYMPHOCYTE ACTIVATION INVOLVED IN IMMUNE RESPONSE,-2.3622314129644444,2.3696526800332998e-4,allECs,3.625315303862765
GOBP REGULATION OF T CELL DIFFERENTIATION,-2.3612050514231977,2.449552617135036e-4,allECs,3.6109132273299323
GOBP OSTEOCLAST DIFFERENTIATION,-2.358765877666713,2.5009362704951594e-4,allECs,3.601897374932802
GOBP RESPONSE TO TUMOR NECROSIS FACTOR,-2.3611494562062294,2.503180223690773e-4,allECs,3.60150788098039
GOBP REGULATION OF PHOSPHORUS METABOLIC PROCESS,-2.0187643861859415,2.5343724189315743e-4,allECs,3.5961295664049158
GOBP REGULATION OF PROTEIN MODIFICATION PROCESS,-1.9671701520449791,2.659790384522647e-4,allECs,3.5751525883434536
GOBP POSITIVE REGULATION OF CELL POPULATION PROLIFERATION,-2.130162371420207,2.821223896496971e-4,allECs,3.5495624462251323
GOBP T CELL ACTIVATION INVOLVED IN IMMUNE RESPONSE,-2.3521282029167447,3.1815165825497356e-4,allECs,3.497365808812771
